,tract,year,prediction_lr
2680,241200,2017,1
4087,410200,2017,1
1313,100400,2017,1
1311,100200,2017,1
434,031800,2017,1
2324,222500,2017,1
2696,243100,2017,1
2312,220701,2017,1
5402,835100,2017,1
3066,837000,2017,1
2332,832300,2017,1
333,030601,2017,1
198,020400,2017,1
2687,242200,2017,1
1428,130300,2017,1
2309,220500,2017,1
2678,241000,2017,1
196,020301,2017,1
4476,460400,2017,1
5398,630400,2017,1
3948,390200,2017,1
5292,610800,2017,1
2893,831400,2017,1
5456,640600,2017,1
4745,520600,2017,1
2327,222800,2017,1
520,040402,2017,1
4293,430200,2017,1
524,040900,2017,1
2692,242700,2017,1
3617,320400,2017,1
882,060900,2017,1
332,030500,2017,1
4175,420100,2017,1
1742,160602,2017,1
4639,491300,2017,1
2701,842300,2017,1
6228,730201,2017,1
3216,282800,2017,1
5297,611400,2017,1
2331,832200,2017,1
1749,161300,2017,1
1979,190602,2017,1
2683,241500,2017,1
3226,838100,2017,1
4479,460700,2017,1
5922,690900,2017,1
4300,430900,2017,1
94,010702,2017,1
624,050100,2017,1
1981,190702,2017,1
5585,660302,2017,1
6164,720100,2017,1
4637,491100,2017,1
4923,560400,2017,1
2871,250300,2017,1
1616,150200,2017,1
2699,243400,2017,1
2036,200402,2017,1
1218,081202,2017,1
5925,691200,2017,1
2447,230900,2017,1
1226,081800,2017,1
3996,400300,2017,1
4841,550100,2017,1
6232,730500,2017,1
6230,730300,2017,1
2453,842100,2017,1
5296,611300,2017,1
6169,720600,2017,1
2879,251200,2017,1
1214,080400,2017,1
3642,330100,2017,1
1051,070102,2017,1
3743,350100,2017,1
3953,390700,2017,1
428,031200,2017,1
2966,260300,2017,1
429,031300,2017,1
